Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,MARUTI,M&M,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,ZEEL
2010-11-04,161.2,2663.05,1544.4,1610.35,481.95,810.3,326.15,760.35,413.75,349.95,342.55,1734.15,1400.7,494.65,2413.3,412.05,739.7,2389.2,1840.6,226.45,299.2,1266.05,280.15,3077.15,415.4,177.0,1351.7,490.3,2171.95,1507.6,777.5,3649.25,194.7,1368.4,101.5,1105.05,3433.45,2278.85,2241.75,1234.05,621.5,1069.15,748.75,3822.35,1121.75,212.55,335.05,436.75,297.4
2010-11-05,162.3,2688.95,1549.85,1614.35,489.5,811.9,329.5,762.45,421.9,352.95,349.85,1753.6,1410.75,495.3,2402.6,413.85,738.15,2393.4,1845.9,232.45,302.85,1273.35,279.95,3081.65,419.25,177.15,1348.2,494.4,2171.65,1512.35,790.9,3661.0,196.3,1379.45,102.05,1105.7,3489.95,2296.45,2276.65,1244.95,623.55,1077.75,750.8,3837.45,1116.85,213.15,337.15,438.05,296.05
2010-11-08,161.4,2740.85,1555.9,1600.45,481.8,809.15,328.05,741.05,418.75,348.9,330.75,1760.05,1424.35,495.85,2425.85,405.65,726.2,2335.4,1829.35,230.25,306.65,1255.3,280.9,3015.9,408.9,175.65,1339.15,491.95,2160.55,1488.6,776.85,3732.0,193.0,1350.65,98.35,1111.85,3425.15,2255.15,2294.95,1269.25,633.2,1068.15,748.85,3817.65,1122.55,210.4,342.0,431.2,295.75
2010-11-09,162.25,2755.4,1562.3,1610.0,475.3,815.8,334.55,744.05,440.35,349.95,326.05,1757.15,1384.65,497.7,2455.65,404.85,725.45,2398.5,1827.25,230.75,319.0,1269.15,288.05,3059.8,412.4,177.8,1337.55,492.4,2172.85,1471.95,781.05,4002.35,193.9,1337.45,103.8,1108.55,3272.55,2228.45,2321.65,1269.9,641.3,1091.1,753.75,3822.3,1147.55,206.6,343.8,431.65,295.35
2010-11-10,159.9,2747.45,1543.4,1574.6,471.95,809.9,327.05,755.75,438.65,342.7,322.8,1744.0,1347.75,500.15,2458.5,405.0,725.35,2395.85,1809.95,228.1,314.75,1255.2,285.55,3082.65,413.1,177.0,1336.95,486.3,2163.45,1475.1,806.35,3858.6,194.1,1348.05,102.0,1102.2,3214.6,2227.35,2322.1,1302.5,637.4,1092.3,754.5,4146.75,1132.25,207.3,342.4,436.55,295.1
2010-11-11,155.4,2650.85,1522.4,1567.8,465.4,795.9,316.75,747.1,431.65,331.85,328.55,1736.3,1317.0,490.45,2424.95,402.65,712.1,2353.3,1819.9,233.95,309.2,1237.1,295.45,3054.65,407.8,175.35,1330.55,488.65,2128.4,1470.4,813.65,3800.2,192.45,1317.7,101.25,1079.9,3175.95,2242.6,2328.0,1275.95,631.05,1064.75,739.3,4124.8,1134.1,204.6,339.4,428.65,147.6
2010-11-12,151.85,2639.3,1492.0,1581.45,455.15,782.75,305.55,730.45,423.9,329.65,320.15,1742.95,1276.15,485.6,2295.15,402.45,716.05,2314.9,1824.55,223.1,301.8,1200.45,284.05,2997.85,402.55,173.85,1279.05,478.05,2080.25,1454.5,773.15,3830.15,192.2,1304.7,99.55,1061.85,3026.8,2247.95,2321.6,1246.25,606.95,1055.9,728.3,3955.55,1103.25,196.9,333.6,425.2,143.55
2010-11-15,151.55,2663.6,1521.7,1590.85,465.9,781.55,309.65,737.3,413.95,343.85,317.2,1762.4,1235.2,494.15,2283.15,404.35,710.2,2385.85,1833.8,224.05,303.7,1223.2,293.3,3030.05,398.95,175.15,1294.7,482.45,2084.8,1436.9,799.95,3901.6,189.5,1314.45,101.2,1054.7,3163.5,2197.7,2306.35,1252.2,618.3,1066.0,723.5,3907.0,1098.65,197.75,340.9,433.2,143.2
2010-11-16,148.45,2658.45,1469.15,1560.1,465.4,778.6,313.45,725.45,410.45,339.25,318.05,1751.7,1279.35,490.1,2250.3,392.35,698.4,2372.6,1817.5,211.9,298.45,1202.3,283.0,2970.95,389.9,169.95,1233.4,482.45,2005.55,1400.65,778.3,3896.6,187.1,1293.4,100.15,1030.5,3080.6,2196.05,2303.9,1205.55,605.95,1048.9,691.7,3790.65,1075.85,188.65,337.8,421.75,139.25
2010-11-18,147.75,2652.3,1426.0,1561.2,462.6,772.3,324.95,738.95,410.1,353.95,326.9,1767.85,1275.9,489.15,2266.7,393.45,700.35,2340.35,1913.35,222.2,299.55,1164.4,274.3,3003.95,397.95,171.95,1277.55,482.25,2038.35,1430.35,780.4,3762.3,187.85,1282.25,101.4,1032.95,3065.05,2117.45,2289.0,1230.75,623.45,1042.8,684.95,3719.15,1100.05,186.65,341.45,418.4,143.65
2010-11-19,145.3,2636.6,1384.7,1562.45,457.0,761.6,328.45,712.65,406.15,342.8,333.55,1770.5,1212.7,490.4,2212.45,377.0,695.35,2303.6,1944.5,212.6,299.0,1148.7,265.15,2963.8,392.8,170.95,1234.55,461.7,2048.6,1405.4,753.0,3624.85,184.15,1263.6,101.9,996.25,2990.95,2168.05,2214.85,1189.0,606.05,1015.4,679.45,3672.75,1097.6,184.9,331.6,400.85,142.45
2010-11-22,146.05,2659.35,1430.6,1598.1,462.7,763.85,336.95,717.1,405.4,348.1,333.35,1762.7,1204.6,495.15,2253.4,390.25,719.1,2379.9,1954.6,214.8,299.65,1180.05,279.65,3043.7,385.7,175.9,1251.35,481.45,2044.35,1420.95,766.55,3707.9,183.25,1296.75,101.45,1012.25,3039.85,2117.85,2230.85,1227.7,624.85,1039.1,683.0,3811.8,1099.85,187.2,334.45,418.3,145.1
2010-11-23,145.35,2639.35,1421.7,1638.45,460.0,764.2,329.15,705.4,398.5,346.15,320.15,1760.2,1182.4,489.35,2234.75,396.0,699.65,2371.8,1957.65,210.8,300.3,1156.95,288.85,3012.1,366.4,172.5,1226.7,479.2,2049.0,1441.5,762.15,3690.95,180.0,1272.65,98.45,995.6,2953.4,2095.1,2276.1,1213.5,612.15,1030.05,673.6,3756.6,1121.7,186.25,326.0,417.05,144.45
2010-11-24,144.9,2604.1,1384.8,1611.15,457.95,758.55,331.8,700.55,398.25,340.7,310.8,1781.25,1153.25,485.35,2208.75,390.5,688.3,2311.4,1931.4,207.6,299.8,1125.1,280.85,2995.9,362.15,173.7,1202.7,475.8,2016.9,1416.05,784.65,3792.8,178.15,1247.45,97.1,996.05,2851.0,2060.0,2273.35,1218.85,616.6,1004.75,666.6,3720.05,1126.3,183.2,324.0,409.7,142.8
2010-11-25,139.05,2520.4,1342.9,1633.75,460.05,734.65,335.0,672.7,393.0,333.9,313.2,1770.15,1157.15,488.45,2164.4,385.75,695.95,2323.05,1951.05,202.8,297.2,1116.25,287.1,3064.35,337.3,169.7,1190.25,458.8,1934.15,1380.1,780.55,3761.15,176.95,1226.8,96.55,979.5,2821.9,2030.25,454.0,1205.8,602.7,1021.8,623.65,3673.95,1135.65,184.15,317.9,406.25,141.35
2010-11-26,141.3,2547.7,1330.9,1613.25,461.65,730.15,333.8,667.7,392.6,340.1,312.7,1787.15,1101.4,487.5,2249.0,392.0,684.95,2297.9,1936.55,200.05,293.1,1124.15,284.7,3042.05,344.2,167.65,1107.7,461.0,1937.15,1367.0,757.45,3561.5,177.0,1240.95,96.45,962.35,2862.75,1960.2,446.25,1166.45,598.8,1047.25,624.8,3573.5,1123.55,182.9,299.55,407.5,141.45
2010-11-29,143.5,2585.75,1329.1,1592.7,460.45,713.6,338.7,680.3,402.85,338.1,317.45,1796.85,1147.65,494.65,2249.75,393.55,694.85,2297.9,1946.5,201.75,297.8,1154.3,294.35,3063.95,344.55,168.6,1132.15,466.05,1964.9,1406.05,770.45,3566.25,179.4,1243.05,93.85,998.4,2879.75,2026.0,449.8,1186.0,591.85,1071.3,631.7,3683.7,1155.2,185.55,311.55,417.75,140.55
2010-11-30,152.4,2648.9,1366.85,1576.6,472.1,707.35,360.15,675.05,402.45,343.3,317.25,1786.7,1186.7,491.5,2275.35,403.75,686.65,2285.4,1982.7,206.55,298.25,1142.1,292.35,3051.0,346.65,171.9,1127.9,476.7,1950.05,1422.0,765.3,3625.35,184.0,1245.3,94.95,985.6,2992.2,2057.7,447.55,1234.95,584.8,1076.0,639.3,3693.0,1137.6,188.5,307.7,419.6,143.9
2010-12-01,153.65,2680.4,1424.45,1571.2,481.65,713.3,350.55,697.95,410.3,365.15,320.95,1775.65,1190.4,495.25,2315.85,411.05,697.75,2367.05,1925.45,213.7,297.6,1167.45,303.0,3052.4,384.55,171.4,1206.3,480.15,2029.3,1414.1,802.5,3568.05,186.35,1286.25,96.85,988.8,3100.15,2094.1,448.65,1286.75,613.55,1081.9,671.15,3781.9,1148.3,193.35,299.55,414.7,145.3
