,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,MARUTI,M&M,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,ZEEL
ADANIPORTS,1.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.009259259259259259,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,-0.017241379310344827,0.0,0.0,0.0,0.029411764705882353,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975609756097561,-0.03278688524590164,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.07894736842105263,0.019230769230769232,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.030303030303030304
ASIANPAINT,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,-0.02,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.05555555555555555,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,-0.030303030303030304,0.0,0.0,0.0,0.0,-0.030303030303030304,0.0
AXISBANK,0.0,0.0,1.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.03225806451612903,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.02702702702702703,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,-0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304
BAJAJ-AUTO,0.12,0.0,0.0,1.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.013333333333333334,0.0,0.08620689655172414,0.05128205128205128,0.0,0.06756756756756757,0.0,0.04081632653061224,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.022988505747126436,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.029411764705882353,-0.023809523809523808,0.0,0.0,0.02702702702702703,0.05263157894736842,0.019230769230769232,0.0,0.0,0.043478260869565216,-0.058823529411764705,0.0,0.0,0.0
BAJAJFINSV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03225806451612903,0.02,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,-0.08333333333333333,0.013513513513513514,0.0,-0.02040816326530612,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,-0.09523809523809523,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAJFINANCE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,-0.029411764705882353,0.0,0.0,0.0,0.0,0.0,-0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,-0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030303030303030304
BHARTIARTL,0.04,0.0,0.08333333333333333,0.08571428571428572,0.0,0.0,1.0,0.0,0.03225806451612903,0.0,-0.018867924528301886,-0.015384615384615385,0.047619047619047616,-0.02666666666666667,-0.02857142857142857,0.0,-0.02564102564102564,0.08333333333333333,0.06756756756756757,-0.058823529411764705,0.061224489795918366,0.16666666666666666,0.10526315789473684,0.0,0.0,0.037037037037037035,0.030303030303030304,0.0,0.0,0.15384615384615385,0.03125,0.12195121951219512,-0.01639344262295082,0.21052631578947367,-0.047619047619047616,0.0,-0.047619047619047616,0.0,0.0,0.13513513513513514,0.02631578947368421,-0.019230769230769232,0.0,0.025,0.0,0.058823529411764705,0.01639344262295082,0.030303030303030304,0.09090909090909091
BPCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.013333333333333334,0.0,-0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRITANNIA,0.0,0.14285714285714285,0.08333333333333333,0.0,0.047619047619047616,0.0,0.009259259259259259,0.0,1.0,0.04,0.03773584905660377,0.0,0.047619047619047616,-0.013333333333333334,0.0,0.0,0.07692307692307693,0.08333333333333333,0.04054054054054054,0.0,0.061224489795918366,0.1111111111111111,0.10526315789473684,0.0,0.0,0.018518518518518517,0.0,0.0,0.011494252873563218,-0.15384615384615385,0.0,0.04878048780487805,0.0,0.0,0.0,0.014705882352941176,-0.023809523809523808,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,-0.025,0.0,0.0,0.0,0.0,0.0
CIPLA,0.12,-0.07142857142857142,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.06451612903225806,1.0,0.0,0.015384615384615385,0.0,0.013333333333333334,0.0,-0.017241379310344827,0.0,0.08333333333333333,0.02702702702702703,0.0,0.061224489795918366,-0.05555555555555555,0.0,-0.07692307692307693,0.0,-0.037037037037037035,0.0,0.0,-0.011494252873563218,0.0,-0.03125,-0.024390243902439025,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.019230769230769232,0.045454545454545456,0.025,0.0,0.058823529411764705,0.03278688524590164,0.0,0.0
